title,id,tagPages,tags,sources,description,primary_page,notes,
185,185,"performance.html,pun.html","Performance,Pun",
5-4-3-2-1,5-4-3-2-1,"long_forms.html,performance.html","Long Form,Performance",
60 Seconds of Silence,60SecondsOfSilence,"exercises.html,scene.html","Exercise,Scenework",
Adjective-Adjective-Name,adjectiveAdjectiveName,"character.html,exercises.html","Character,Exercise",
A Real Reason,aRealReason,"exercises.html",Exercise,
Ad Game,adGame,"exercises.html,group.html,listening.html,performance.html,scene.html","Exercise,Group Game,Listening,Performance,Scenework"
Acapella Harmonies,acapellaHarmonies,"exercises.html,musical.html,warm_ups.html","Exercise,Musical,Warm Up",
Alien Tiger Cow,alienTigerCow,"exercises.html,party.html","Exercise,Party",
Alphabet Game,alphabetGame,"exercises.html,listening.html,performance.html,scene.html","Exercise,Listening,Performance,Scenework",
Bad Rap,badRap,"exercises.html,listening.html,musical.html,party.html,warm_ups.html","Exercise,Listening,Musical,Party,Warm Up",
Ballad,ballad,"interview.html,musical.html,performance.html,song_formats.html","Interview,Musical,Performance,Song Format",
Balladeer,balladeer,"long_forms.html,musical.html,narrative.html,performance.html","Long Form,Musical,narrative,performance",
Band,band,"exercises.html,group.html,musical.html,party.html,performance.html","Exercise,Group Game,Musical,Party,Performance",
Bard's Ballad,bardsBallad,"group.html,musical.html,narrative.html,performance.html,scene.html","Group Game, Musical,Narrative,Performance,Scene",
Bat,bat,"long_forms.html,performance.html,scene.html","Long Form,Performance,Scene",
Beastie Boys,beastieBoys,"exercises.html,group.html,listening.html,musical.html,party.html,performance.html,warm_ups.html","Exercise,Group Game,Listening,Musical,Party,Performance/Warm Up",
Beastie Rap,beastieRap,"exercises.html,listening.html,musical.html,warm_ups.html","Exercise,Listening,Musical,Warm Up",
Big Booty,bigBooty,"exercises.html,listening.html,party.html,warm_ups.html","Exercise,Listening,Part,Warm Up",
Blues,blues,"group.html,musical.html,performance.html,song_formats.html","Group Game,Musical,Performance,Song Format",
Bubsy Berkeley,bubsyBerkeley,""
Build a Machine,buildAMachine,
Building an Environment,buildingAnEnvironment,
Bunny Bunny,bunnyBunny,
C
Chain Murder,chainMurder,
Chameleon,chameleon,
Change AKA New Decision,change,
Character Panel,characterPanel,
Character Matching,characterMatching,
Character Samurai,characterSamurai,
Character Swap,characterSwap,
Charity Song,charitySong,
Choose your Own Adventure,chooseYourOwnAdventure,
Clap Move Sing,clapMoveSing,
Classic Cast,classicCast,
Clovers,clovers,
Cocktail Party,cocktailParty,
Compliment/Boast,complimentBoast,
Conducted Story,conductedStory,
Confessions,confessions,
Counterpoint Song,conterpointSong,
Compilation Album,compilationAlbum,
Conflict Scenes,conflictScenes,
Count to Twenty,countToTwenty,
Crazy 8s,crazy8s,
Create an Object and Say a Line,createAnObjectAndSayALine,
Creating Characters from Beliefs,creatingCharactersFromBeliefs,
Creating Characters from people you Know,creatingCharactersFromPeopleYouKnow,
Creating Characters from Physical Characteristics,creatingCharactersFromPhysicalCharacteristics,
D
Da Doo Ron Ron,daDooRonRon,
Dating Game,datingGame,
Day in the Life,dayInTheLife,
Deconstruction,deconstruction,
Did You Just Say...?,didYouJustSay,
Die Scum Die,dieScumeDie,
Director,director,
Distilling the Game,distillingTheGame,
Drinking with Me,drinkingWithMe,
Duet Song,duetSong,
E
Endowment Waiter,endowmentWaiter,
Enemy Protector,enemyProtector,
Entrances and Exits,entrancesAndExits,
Errands,errands,
Expert Panel,expertPanel,
F
Five Things,fiveThings,
Flock of Birds,flockOfBirds,
Follow the Follower,followTheFollower,
Fortune Teller,fortuneTeller,
Forward Reverse,forwardReverse,
Freestyle Squads,freestyleSquads,
Freeze Tag,freezeTag,
French Braid,frenchBraid,
G
Genre Roller Coaster,genreRollerCoaster,
Gibberish Duets,gibberishDuets,
Gibberish Opera,gibberishOpera,
Give the Setup,giveTheSetup,
Goalie,goalie,
Golden Goose,goldenGoose,
Green Screen,greenScreen,
