title,id,tagPages,tags,primary_page,"<p><strong>Description:</strong>\<ul><li>Description...</li></ul></p><hr><p><strong>Example:</strong>\<ul><li>Example...</li></ul></p><hr><p><strong>Tips:</strong><ul><li>TipOne...</li>\<li>TipTwo...</li></ul><hr></p>"
185,185,"performance.html,pun.html","Performance,Pun",performance.html#185,"<p><strong>Description:</strong>\<ul><li>Description...</li></ul></p><hr><p><strong>Example:</strong>\<ul><li>Example...</li></ul></p><hr><p><strong>Tips:</strong><ul><li>TipOne...</li>\<li>TipTwo...</li></ul><hr></p>"
5-4-3-2-1,5-4-3-2-1,"long_forms.html,performance.html","Long Form,Performance",long_forms.html#5-4-3-2-1,"<p><strong>Description:</strong>\<ul><li>Description...</li></ul></p><hr><p><strong>Example:</strong>\<ul><li>Example...</li></ul></p><hr><p><strong>Tips:</strong><ul><li>TipOne...</li>\<li>TipTwo...</li></ul><hr></p>"
60 Seconds of Silence,60SecondsOfSilence,"exercises.html,scene.html","Exercise,Scenework",exercises.html#60SecondsOfSilence,"<p><strong>Description:</strong>\<ul><li>Description...</li></ul></p><hr><p><strong>Example:</strong>\<ul><li>Example...</li></ul></p><hr><p><strong>Tips:</strong><ul><li>TipOne...</li>\<li>TipTwo...</li></ul><hr></p>"
Adjective Adjective Name,adjectiveAdjectiveName,"character.html,exercises.html","Character,Exercise",character.html#adjectiveAdjectiveName,"<p><strong>Description:</strong>\<ul><li>Description...</li></ul></p><hr><p><strong>Example:</strong>\<ul><li>Example...</li></ul></p><hr><p><strong>Tips:</strong><ul><li>TipOne...</li>\<li>TipTwo...</li></ul><hr></p>"
A Real Reason,aRealReason,exercises.html,Exercise,exercises.html#aRealReason,"<p><strong>Description:</strong>\<ul><li>Description...</li></ul></p><hr><p><strong>Example:</strong>\<ul><li>Example...</li></ul></p><hr><p><strong>Tips:</strong><ul><li>TipOne...</li>\<li>TipTwo...</li></ul><hr></p>"
Ad Game,adGame,"exercises.html,group.html,listening.html,performance.html,scene.html","Exercise,Group Game,Listening,Performance,Scenework",group.html#adGame,"<p><strong>Description:</strong>\<ul><li>Description...</li></ul></p><hr><p><strong>Example:</strong>\<ul><li>Example...</li></ul></p><hr><p><strong>Tips:</strong><ul><li>TipOne...</li>\<li>TipTwo...</li></ul><hr></p>"
Acapella Harmonies,acapellaHarmonies,"exercises.html,musical.html,warm_ups.html","Exercise,Musical,Warm Up",musical.html#acapellaHarmonies,"<p><strong>Description:</strong>\<ul><li>Description...</li></ul></p><hr><p><strong>Example:</strong>\<ul><li>Example...</li></ul></p><hr><p><strong>Tips:</strong><ul><li>TipOne...</li>\<li>TipTwo...</li></ul><hr></p>"
Alien Tiger Cow,alienTigerCow,"child_friendly.html,exercises.html,party.html","Child Friendly,Exercise,Party",child_friendly.html#alienTigerCow,"<p><strong>Description:</strong>\<ul><li>Description...</li></ul></p><hr><p><strong>Example:</strong>\<ul><li>Example...</li></ul></p><hr><p><strong>Tips:</strong><ul><li>TipOne...</li>\<li>TipTwo...</li></ul><hr></p>"
Alphabet Game,alphabetGame,"exercises.html,listening.html,performance.html,scene.html","Exercise,Listening,Performance,Scenework",exercises.html#alphabetGame,"<p><strong>Description:</strong>\<ul><li>Description...</li></ul></p><hr><p><strong>Example:</strong>\<ul><li>Example...</li></ul></p><hr><p><strong>Tips:</strong><ul><li>TipOne...</li>\<li>TipTwo...</li></ul><hr></p>"
