title,id,tagPages,tags,primary_page,text
5-4-3-2-1,5-4-3-2-1,"long_forms.html,performance.html","Long Form,Performance",long_forms.html#5-4-3-2-1,
Adjective Adjective Name,adjectiveAdjectiveName,"character.html,exercises.html","Character,Exercise",character.html#adjectiveAdjectiveName,
Ballad,ballad,"interview.html,musical.html,performance.html,song_formats.html","Interview,Musical,Performance,Song Format",musical.html#ballad,
Balladeer,balladeer,"long_forms.html,musical.html,narrative.html,performance.html","Long Form,Musical,narrative,performance",musical.html#balladeer,
Band,band,"exercises.html,group.html,musical.html,party.html,performance.html","Exercise,Group Game,Musical,Party,Performance",musical.html#band,
Blind Date,blindDate,
Blow Them Away,blowThemAway,,,HTBTGIOE
Build a Machine,buildAMachine,
Building an Environment,buildingAnEnvironment,
Chameleon,chameleon,
Character Samurai,characterSamurai,,,,
Character Swap,characterSwap,,,,
Charity Song,charitySong,,,,
Choose your Own Adventure,chooseYourOwnAdventure,,,,
Clap Move Sing,clapMoveSing,,,,
Classic Cast,classicCast,,,,
Clovers,clovers,,,,
Cocktail Party,cocktailParty,,,,
Compliment/Boast,complimentBoast,,,,
Conducted Story,conductedStory,,,,
Confessions,confessions,,,,
Counterpoint Song,conterpointSong,,,,
Compilation Album,compilationAlbum,,,,
Conflict Scenes,conflictScenes,,,,
Count to Twenty,countToTwenty,,,,
Crazy 8s,crazy8s,,,,
Create an Object and Say a Line,createAnObjectAndSayALine,,,,
Creating Characters from Beliefs,creatingCharactersFromBeliefs,,,,
Creating Characters from people you Know,creatingCharactersFromPeopleYouKnow,,,,
Creating Characters from Physical Characteristics,creatingCharactersFromPhysicalCharacteristics,,,,
D,,,,,
Da Doo Ron Ron,daDooRonRon,,,,
Dating Game,datingGame,,,,
Day in the Life,dayInTheLife,,,,
Deconstruction,deconstruction,,,,
Did You Just Say...?,didYouJustSay,,,,
Die Scum Die,dieScumeDie,,,,
Director,director,,,,
Distilling the Game,distillingTheGame,,,,
Drinking with Me,drinkingWithMe,,,,
Duet Song,duetSong,,,,
E,,,,,
Endowment Waiter,endowmentWaiter,,,,
Enemy Protector,enemyProtector,,,,
Entrances and Exits,entrancesAndExits,,,,
Errands,errands,,,,
Eulogy,eulogy,,,,
Expert Panel,expertPanel,,,,
F,,,,,
Five Things,fiveThings,,,,
Flock of Birds,flockOfBirds,,,,
Follow the Follower,followTheFollower,,,,
Fortune Teller,fortuneTeller,,,,
Forward Reverse,forwardReverse,,,,
Freestyle Squads,freestyleSquads,,,,
Freeze Tag,freezeTag,,,,
French Braid,frenchBraid,,,,
G,,,,,
Genre Roller Coaster,genreRollerCoaster,,,,
Gibberish Duets,gibberishDuets,,,,
Gibberish Opera,gibberishOpera,,,,
Give the Setup,giveTheSetup,,,,
Goalie,goalie,,,,
Golden Goose,goldenGoose,,,,
Green Screen,greenScreen,,,,
Group Song,groupSong,,,,
H,,,,,
Half Life,halfLife,,,,
